id,title,genre,valence,energy,danceability,acousticness,tempo
1,Toy story,Adventure|Animation|Children|Comedy|Fantasy,0.82,0.6799999999999999,0.6399999999999999,0.22000000000000003,0.6
2,Jumanji,Adventure|Children|Fantasy,0.8000000000000002,0.6666666666666666,0.5666666666666668,0.2333333333333333,0.6
3,Grumpy Old Men,Comedy|Romance,0.8500000000000001,0.55,0.7,0.4,0.5
4,Waiting to Exhale,Comedy|Drama|Romance,0.7000000000000001,0.5,0.5666666666666668,0.5,0.4333333333333333
5,Father of the Bride Part II,Comedy,0.9,0.7,0.8,0.2,0.6
6,Heat,Action|Crime|Thriller,0.43333333333333335,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.6999999999999998
7,Sabrina,Comedy|Romance,0.8500000000000001,0.55,0.7,0.4,0.5
8,Tom and Huck,Adventure|Children,0.8500000000000001,0.7,0.65,0.2,0.6499999999999999
9,Sudden Death,Action,0.7,0.9,0.4,0.0,0.9
10,GoldenEye,Action|Adventure|Thriller,0.6,0.8333333333333334,0.43333333333333335,0.06666666666666667,0.7666666666666666
11,The American President,Comedy|Drama|Romance,0.7000000000000001,0.5,0.5666666666666668,0.5,0.4333333333333333
12,Dracula: Dead and Loving It,Comedy|Horror,0.55,0.8,0.55,0.15000000000000002,0.6
13,Balto,Animation|Children,0.8500000000000001,0.6499999999999999,0.75,0.25,0.6
14,Nixon,Drama,0.4,0.4,0.3,0.7,0.3
15,Cutthroat Island,Action|Adventure|Romance,0.7666666666666666,0.7000000000000001,0.5,0.2333333333333333,0.6666666666666666
16,Casino,Crime|Drama,0.35,0.55,0.35,0.44999999999999996,0.4
17,Sense and Sensibility,Comedy|Drama|Romance,0.7000000000000001,0.5,0.5666666666666668,0.5,0.4333333333333333
18,Four Rooms,Comedy|Drama|Thriller,0.5333333333333333,0.6333333333333334,0.5,0.3333333333333333,0.5333333333333333
19,Ace Ventura: When Nature Calls,Comedy,0.9,0.7,0.8,0.2,0.6
20,Money Train,Action|Comedy|Crime|Drama|Thriller,0.52,0.7,0.4600000000000001,0.24000000000000005,0.6
21,Get Shorty,Action|Comedy|Drama,0.6666666666666666,0.6666666666666666,0.5000000000000001,0.3,0.6
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,0.3,0.6599999999999999,0.34,0.3,0.5
23,Ninja Assassin,Action|Crime|Thriller,0.43333333333333335,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.6999999999999998
24,Powder,Drama|Sci-Fi,0.5,0.55,0.4,0.35,0.44999999999999996
25,Leaving Las Vegas,Drama|Romance,0.6000000000000001,0.4,0.44999999999999996,0.6499999999999999,0.35
26,Othello,Drama,0.4,0.4,0.3,0.7,0.3
27,Now and Then,Drama,0.4,0.4,0.3,0.7,0.3
28,Persuasion,Drama|Romance,0.6000000000000001,0.4,0.44999999999999996,0.6499999999999999,0.35
29,La cité des enfants perdus,Adventure|Drama|Fantasy|Mystery|Sci-Fi,0.56,0.6,0.4,0.3,0.5
30,Yao a yao yao dao waipo qiao,Crime|Drama,0.35,0.55,0.35,0.44999999999999996,0.4
31,Dangerous Minds,Drama,0.4,0.4,0.3,0.7,0.3
32,Twelve Monkeys,Sci-Fi|Thriller,0.44999999999999996,0.75,0.45,0.05,0.6499999999999999
33,Wings of Courage,Adventure|IMAX|Romance,0.7666666666666666,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.6
34,Babe,Children|Comedy|Drama|Fantasy,0.7250000000000001,0.575,0.5750000000000001,0.375,0.5
35,Carrington,Drama|Romance,0.6000000000000001,0.4,0.44999999999999996,0.6499999999999999,0.35
36,Dead Man Walking,Crime|Drama,0.35,0.55,0.35,0.44999999999999996,0.4
37,Across the Sea of Time,Documentary|IMAX,0.6,0.55,0.35,0.45,0.5
38,It Takes Two,Comedy,0.9,0.7,0.8,0.2,0.6
39,Clueless,Comedy|Romance,0.8500000000000001,0.55,0.7,0.4,0.5
40,"Cry, the Beloved Country",Drama,0.4,0.4,0.3,0.7,0.3
41,Richard III,Drama|War,0.30000000000000004,0.6000000000000001,0.25,0.39999999999999997,0.5
42,Dead Presidents,Action|Crime|Drama,0.4666666666666666,0.6666666666666666,0.3666666666666667,0.3,0.5666666666666667
43,Restoration,Drama,0.4,0.4,0.3,0.7,0.3
44,Mortal Kombat,Action|Adventure|Fantasy,0.7333333333333334,0.7666666666666667,0.43333333333333335,0.13333333333333333,0.7000000000000001
45,Live Free or Die Hard,Comedy|Drama|Thriller,0.5333333333333333,0.6333333333333334,0.5,0.3333333333333333,0.5333333333333333
46,How to Make an American Quilt,Drama|Romance,0.6000000000000001,0.4,0.44999999999999996,0.6499999999999999,0.35
47,Shichinin no samurai,Crime|Horror|Mystery|Thriller,0.275,0.7250000000000001,0.35,0.2,0.55
48,Pocahontas,Animation|Children|Musical|Romance,0.8500000000000001,0.6,0.75,0.375,0.5499999999999999
49,When Night Is Falling,Drama|Romance,0.6000000000000001,0.4,0.44999999999999996,0.6499999999999999,0.35
